latitude,longitude,accommodates,bedrooms,beds,price,Entire home/apt,Hotel room,Private room,"24"" HDTV with Amazon Prime Video","25"" HDTV with DVD player","25"" HDTV with Roku","27"" TV","28"" HDTV with Fire TV","30"" HDTV with HBO Max","30"" HDTV with Netflix","30"" HDTV","30"" TV","32"" HDTV with Amazon Prime Video","32"" HDTV with Fire TV","32"" HDTV with Hulu","32"" HDTV with Netflix","32"" HDTV with Netflix","32"" HDTV with Roku","32"" HDTV","32"" TV with Amazon Prime Video","32"" TV with Roku","32"" TV","34"" TV","35"" TV with Roku","36"" HDTV with Amazon Prime Video","36"" HDTV with DVD player","36"" HDTV","38"" HDTV with Netflix","38"" TV with Fire TV","38"" TV with Roku","39"" HDTV with Netflix","40"" HDTV with Amazon Prime Video","40"" HDTV with Roku","40"" HDTV with Roku","40"" HDTV with premium cable","40"" TV with Netflix","42"" HDTV with Amazon Prime Video","42"" HDTV with Chromecast","42"" HDTV with DVD player","42"" HDTV with Disney+","42"" HDTV with Hulu","42"" HDTV with Netflix","42"" HDTV with Roku","42"" HDTV with premium cable","42"" HDTV with standard cable","42"" TV with Roku","43"" HDTV with Amazon Prime Video","43"" HDTV with HBO Max","43"" HDTV with Netflix","43"" HDTV with Roku","43"" HDTV","43"" TV with Fire TV","43"" TV with Netflix","43"" TV with Roku","44"" HDTV with Apple TV","44"" HDTV with standard cable","44"" TV with standard cable","45"" HDTV with Amazon Prime Video","46"" HDTV with Apple TV","47"" HDTV with Amazon Prime Video","47"" HDTV with Roku","48"" HDTV with Amazon Prime Video","48"" HDTV with Chromecast","48"" HDTV with Disney+","48"" HDTV with Netflix","48"" HDTV with standard cable","50"" HDTV with Amazon Prime Video","50"" HDTV with Amazon Prime Video","50"" HDTV with Apple TV","50"" HDTV with Chromecast","50"" HDTV with Hulu","50"" HDTV with Netflix","50"" HDTV with Netflix","50"" HDTV with Roku","50"" HDTV with standard cable","50"" HDTV with standard cable","50"" HDTV","50"" TV with Amazon Prime Video","50"" TV with Chromecast","50"" TV with Netflix","52"" HDTV with Amazon Prime Video","54"" HDTV with Amazon Prime Video","55"" HDTV with Amazon Prime Video","55"" HDTV with Apple TV","55"" HDTV with Apple TV","55"" HDTV with Chromecast","55"" HDTV with Disney+","55"" HDTV with Hulu","55"" HDTV with Netflix","55"" HDTV with Netflix","55"" HDTV with Roku","55"" HDTV with Roku","55"" HDTV with premium cable","55"" HDTV with standard cable","55"" HDTV","55"" TV with Amazon Prime Video","55"" TV with standard cable","55"" TV","56"" HDTV with Apple TV","60"" HDTV with Amazon Prime Video","60"" HDTV with Apple TV","60"" HDTV with Roku","60"" HDTV with standard cable","60"" HDTV with standard cable","64"" HDTV with Roku","65"" HDTV with Amazon Prime Video","65"" HDTV with Roku","65"" HDTV with standard cable","65"" TV with Netflix","70"" HDTV with Amazon Prime Video","70"" TV with Amazon Prime Video","75"" HDTV with standard cable","82"" HDTV with Disney+"
35.49233,-82.51495,3,1,1,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.60562,-82.55512,2,1,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.57864,-82.59578,2,1,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.61736,-82.55074,4,1,2,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.61966,-82.48065,2,1,1,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.64408,-82.52508,2,2,2,219,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.58561,-82.62731,8,4,5,292,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.49088,-82.48602,2,1,1,159,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.60153,-82.5604,3,1,1,131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.56921,-82.57349,3,1,1,146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.60415,-82.54893,2,1,2,155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.621288,-82.553017,4,2,2,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.64371,-82.52456,4,2,2,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.58371,-82.56111,4,2,2,239,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
